Trt*,DAP,Yield,LAI,FSolar,Biomass
1,41,,0.29,0.21,154.1
1,59,,2.39,0.85,2257.9
1,70,409.37,3.92,0.96,4034.07
1,88,3364.74,6.07,0.99,10607.44
1,104,7530.8,6.27,0.99,15430.1
1,117,,3.42,0.94,
1,138,18477.26,1.47,0.69,22832.26
