Trt*,DAP,Yield,LAI,FSolar,Biomass
1,49,0,,,378.6
1,59,360,,,1452.6
1,68,1380,,,3018
1,80,3780,,,6186
1,100,7080,,,10098
1,116,8520,,,11394
2,49,0,,,366.6
2,59,480,,,1638
2,68,1440,,,3264
2,80,3360,,,6000
2,100,5940,,,9006
2,116,7254,,,10098
3,49,0,,,294
3,59,355,,,1362.6
3,68,1158,,,2760
3,80,3018,,,5400
3,100,5160,,,8172
3,116,6738,,,9426
