Trt*,DAP,Biomass,LAI,FSolar,Yield
1,18,82,0.2,0.15,0
1,32,987,1.4,0.67,0
1,46,5217,2.83,0.9,889
1,60,8334,2.76,0.89,3218
1,69,7710,1.67,0.74,3889
