Trt*,DAP,Biomass,LAI,Yield,FSolar
1,12,,,,
1,14,46,0.06,0,0.05
1,20,161,0.27,0,0.19
1,27,269,0.4,0,0.27
1,34,602,0.72,0,0.44
1,41,1128,1.34,0,0.66
1,50,1830,1.93,78,0.79
1,55,2469,2.16,601,0.82
1,62,3401,2.19,1526,0.83
