Trt*,DAP,Yield,FSolar,Biomass
1,157,6015.5633,0,16436.1667
4,134,8000.4383,0,19633.6667
7,145,6767.6667,0,17570.3333
10,121,6014.7233,0,15534
11,131,7169.3333,0,17900.6667
14,106,5259.4033,0,12517
15,94,6162.7183,0,14017.1667
18,87,4667.3333,0,11423.3333
21,82,4031.095,0,10104.6667
24,81,2702.6667,0,6425
27,61,1070.5033,0,5415
28,71,2050.0867,0,5477
