Trt*,DAP,Biomass,LAI,Yield,FSolar
1,13,1.7,0.002,,0.002
1,35,124,0.184,,0.137
1,56,1717,1.594,182,0.721
1,77,5472,2.68,2963,0.883
1,91,6528,2.242,3414,0.834
