Trt*,DAP,Yield,LAI,FSolar,Biomass
1,39,,0.3,0.21,219.76
1,48,197,0.98,0.54,197
1,64,395.3,2.33,0.84,2864.92
1,74,,3.36,0.93,
1,84,2341.65,5.24,0.98,7708.35
1,91,,5.95,0.99,
1,104,5818.95,5.53,0.99,11778.6
1,116,,3.49,0.94,
1,132,11011.45,1.92,0.78,15974.14
