Species*,Exp*,Trt*,Label,Weather,CO2,SowingDate,HarvestDate,SoilName*,Cultivar*,IrrigationTrt,MaxIntercept,InitialBio,InitialTT,InitialFsolar,NOTE
wheat,CC-model,31,2060,BRBS91X1,450,60121,60232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2060
wheat,CC-model,32,2061,BRBS91X1,450,61121,61232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2061
wheat,CC-model,33,2062,BRBS91X1,450,62121,62232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2062
wheat,CC-model,34,2063,BRBS91X1,450,63121,63232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2063
wheat,CC-model,35,2064,BRBS91X1,450,64121,64232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2064
wheat,CC-model,36,2065,BRBS91X1,450,65121,65232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2065
wheat,CC-model,37,2066,BRBS91X1,450,66121,66232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2066
wheat,CC-model,38,2067,BRBS91X1,450,67121,67232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2067
wheat,CC-model,39,2068,BRBS91X1,450,68121,68232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2068
wheat,CC-model,40,2069,BRBS91X1,450,69121,69232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2069
wheat,CC-model,41,2070,BRBS91X1,450,70121,70232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2070
wheat,CC-model,42,2071,BRBS91X1,450,71121,71232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2071
wheat,CC-model,43,2072,BRBS91X1,450,72121,72232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2072
wheat,CC-model,44,2073,BRBS91X1,450,73121,73232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2073
wheat,CC-model,45,2074,BRBS91X1,450,74121,74232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2074
wheat,CC-model,46,2075,BRBS91X1,450,75121,75232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2075
wheat,CC-model,47,2076,BRBS91X1,450,76121,76232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2076
